time,model.root.system1.integrator.y,model.root.system1.integrator1.y,model.root.system1.der(integrator.y),model.root.system1.der(integrator1.y),model.root.system1.HModelica,model.root.system1.hxPower,model.root.system1.hxPowerIntegral,model.root.system1.momentumModelica,model.root.system1.power,model.root.system1.powerIntegral,model.root.system1.temperatureModelica,model.root.system1.integrator.u,model.root.system1.integrator1.u,model.root.system1.ramp.y,model.root.system1.ramp1.y,model.root.system1.ramp2.y,model.root.system1.integrator.initType,model.root.system1.integrator1.initType,model.root.system1.integrator.use_reset,model.root.system1.integrator.use_set,model.root.system1.integrator1.use_reset,model.root.system1.integrator1.use_set
0.012, 1831412.30846, -117.196424434, 166206713.462, -11763.5086659, 10000, -11763.5086659, -117.196424434, 0, 166206713.462, 1831412.30846, 850, 166206713.462, -11763.5086659, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.013, 1997563.19836, -128.969620548, 166150889.901, -11773.1961144, 10000, -11773.1961144, -128.969620548, 0, 166150889.901, 1997563.19836, 850, 166150889.901, -11773.1961144, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.013, 1997563.19836, -128.969620548, 166150889.901, -11773.1961144, 10000, -11773.1961144, -128.969620548, 0, 166150889.901, 1997563.19836, 850, 166150889.901, -11773.1961144, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.013, 1997563.19836, -128.969620548, 166150889.901, -11773.1961144, 10000, -11773.1961144, -128.969620548, 0, 166150889.901, 1997563.19836, 850, 166150889.901, -11773.1961144, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.014, 2163658.25276, -140.752490323, 166095054.404, -11782.8697752, 10000, -11782.8697752, -140.752490323, 0, 166095054.404, 2163658.25276, 850, 166095054.404, -11782.8697752, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.014, 2163658.25276, -140.752490323, 166095054.404, -11782.8697752, 10000, -11782.8697752, -140.752490323, 0, 166095054.404, 2163658.25276, 850, 166095054.404, -11782.8697752, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.014, 2163658.25276, -140.752490323, 166095054.404, -11782.8697752, 10000, -11782.8697752, -140.752490323, 0, 166095054.404, 2163658.25276, 850, 166095054.404, -11782.8697752, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.015, 2329697.49365, -152.545020315, 166039240.884, -11792.5299922, 10000, -11792.5299922, -152.545020315, 0, 166039240.884, 2329697.49365, 850, 166039240.884, -11792.5299922, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.015, 2329697.49365, -152.545020315, 166039240.884, -11792.5299922, 10000, -11792.5299922, -152.545020315, 0, 166039240.884, 2329697.49365, 850, 166039240.884, -11792.5299922, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.015, 2329697.49365, -152.545020315, 166039240.884, -11792.5299922, 10000, -11792.5299922, -152.545020315, 0, 166039240.884, 2329697.49365, 850, 166039240.884, -11792.5299922, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.016, 2495680.95307, -164.347197399, 165983459.424, -11802.1770837, 10000, -11802.1770837, -164.347197399, 0, 165983459.424, 2495680.95307, 850, 165983459.424, -11802.1770837, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.016, 2495680.95307, -164.347197399, 165983459.424, -11802.1770837, 10000, -11802.1770837, -164.347197399, 0, 165983459.424, 2495680.95307, 850, 165983459.424, -11802.1770837, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.016, 2495680.95307, -164.347197399, 165983459.424, -11802.1770837, 10000, -11802.1770837, -164.347197399, 0, 165983459.424, 2495680.95307, 850, 165983459.424, -11802.1770837, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.017, 2661608.66565, -176.159008745, 165927712.578, -11811.8113455, 10000, -11811.8113455, -176.159008745, 0, 165927712.578, 2661608.66565, 850, 165927712.578, -11811.8113455, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.017, 2661608.66565, -176.159008745, 165927712.578, -11811.8113455, 10000, -11811.8113455, -176.159008745, 0, 165927712.578, 2661608.66565, 850, 165927712.578, -11811.8113455, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.017, 2661608.66565, -176.159008745, 165927712.578, -11811.8113455, 10000, -11811.8113455, -176.159008745, 0, 165927712.578, 2661608.66565, 850, 165927712.578, -11811.8113455, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.018, 2827480.66694, -187.980441797, 165872001.291, -11821.4330522, 10000, -11821.4330522, -187.980441797, 0, 165872001.291, 2827480.66694, 850, 165872001.291, -11821.4330522, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.018, 2827480.66694, -187.980441797, 165872001.291, -11821.4330522, 10000, -11821.4330522, -187.980441797, 0, 165872001.291, 2827480.66694, 850, 165872001.291, -11821.4330522, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.018, 2827480.66694, -187.980441797, 165872001.291, -11821.4330522, 10000, -11821.4330522, -187.980441797, 0, 165872001.291, 2827480.66694, 850, 165872001.291, -11821.4330522, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.019, 2993296.99282, -199.811484255, 165816325.88, -11831.0424584, 10000, -11831.0424584, -199.811484255, 0, 165816325.88, 2993296.99282, 850, 165816325.88, -11831.0424584, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.019, 2993296.99282, -199.811484255, 165816325.88, -11831.0424584, 10000, -11831.0424584, -199.811484255, 0, 165816325.88, 2993296.99282, 850, 165816325.88, -11831.0424584, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.019, 2993296.99282, -199.811484255, 165816325.88, -11831.0424584, 10000, -11831.0424584, -199.811484255, 0, 165816325.88, 2993296.99282, 850, 165816325.88, -11831.0424584, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.02, 3159057.67924, -211.652124054, 165760686.425, -11840.6397988, 10000, -11840.6397988, -211.652124054, 0, 165760686.425, 3159057.67924, 850, 165760686.425, -11840.6397988, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.02, 3159057.67924, -211.652124054, 165760686.425, -11840.6397988, 10000, -11840.6397988, -211.652124054, 0, 165760686.425, 3159057.67924, 850, 165760686.425, -11840.6397988, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.02, 3159057.67924, -211.652124054, 165760686.425, -11840.6397988, 10000, -11840.6397988, -211.652124054, 0, 165760686.425, 3159057.67924, 850, 165760686.425, -11840.6397988, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.021, 3324762.76216, -223.502349346, 165705082.917, -11850.2252917, 10000, -11850.2252917, -223.502349346, 0, 165705082.917, 3324762.76216, 850, 165705082.917, -11850.2252917, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.021, 3324762.76216, -223.502349346, 165705082.917, -11850.2252917, 10000, -11850.2252917, -223.502349346, 0, 165705082.917, 3324762.76216, 850, 165705082.917, -11850.2252917, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.021, 3324762.76216, -223.502349346, 165705082.917, -11850.2252917, 10000, -11850.2252917, -223.502349346, 0, 165705082.917, 3324762.76216, 850, 165705082.917, -11850.2252917, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.022, 3490412.27748, -235.362148484, 165649515.32, -11859.7991385, 10000, -11859.7991385, -235.362148484, 0, 165649515.32, 3490412.27748, 850, 165649515.32, -11859.7991385, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.022, 3490412.27748, -235.362148484, 165649515.32, -11859.7991385, 10000, -11859.7991385, -235.362148484, 0, 165649515.32, 3490412.27748, 850, 165649515.32, -11859.7991385, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.022, 3490412.27748, -235.362148484, 165649515.32, -11859.7991385, 10000, -11859.7991385, -235.362148484, 0, 165649515.32, 3490412.27748, 850, 165649515.32, -11859.7991385, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.023, 3656006.26107, -247.231510009, 165593983.589, -11869.3615248, 10000, -11869.3615248, -247.231510009, 0, 165593983.589, 3656006.26107, 850, 165593983.589, -11869.3615248, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.023, 3656006.26107, -247.231510009, 165593983.589, -11869.3615248, 10000, -11869.3615248, -247.231510009, 0, 165593983.589, 3656006.26107, 850, 165593983.589, -11869.3615248, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.023, 3656006.26107, -247.231510009, 165593983.589, -11869.3615248, 10000, -11869.3615248, -247.231510009, 0, 165593983.589, 3656006.26107, 850, 165593983.589, -11869.3615248, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.024, 3821544.74875, -259.110422631, 165538487.677, -11878.912622, 10000, -11878.912622, -259.110422631, 0, 165538487.677, 3821544.74875, 850, 165538487.677, -11878.912622, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.024, 3821544.74875, -259.110422631, 165538487.677, -11878.912622, 10000, -11878.912622, -259.110422631, 0, 165538487.677, 3821544.74875, 850, 165538487.677, -11878.912622, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.024, 3821544.74875, -259.110422631, 165538487.677, -11878.912622, 10000, -11878.912622, -259.110422631, 0, 165538487.677, 3821544.74875, 850, 165538487.677, -11878.912622, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.025, 3987027.77629, -270.99887522, 165483027.542, -11888.4525884, 10000, -11888.4525884, -270.99887522, 0, 165483027.542, 3987027.77629, 850, 165483027.542, -11888.4525884, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.025, 3987027.77629, -270.99887522, 165483027.542, -11888.4525884, 10000, -11888.4525884, -270.99887522, 0, 165483027.542, 3987027.77629, 850, 165483027.542, -11888.4525884, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.025, 3987027.77629, -270.99887522, 165483027.542, -11888.4525884, 10000, -11888.4525884, -270.99887522, 0, 165483027.542, 3987027.77629, 850, 165483027.542, -11888.4525884, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.026, 4152455.37943, -282.89685679, 165427603.141, -11897.9815701, 10000, -11897.9815701, -282.89685679, 0, 165427603.141, 4152455.37943, 850, 165427603.141, -11897.9815701, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.026, 4152455.37943, -282.89685679, 165427603.141, -11897.9815701, 10000, -11897.9815701, -282.89685679, 0, 165427603.141, 4152455.37943, 850, 165427603.141, -11897.9815701, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.026, 4152455.37943, -282.89685679, 165427603.141, -11897.9815701, 10000, -11897.9815701, -282.89685679, 0, 165427603.141, 4152455.37943, 850, 165427603.141, -11897.9815701, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.027, 4317827.59386, -294.804356492, 165372214.434, -11907.499702, 10000, -11907.499702, -294.804356492, 0, 165372214.434, 4317827.59386, 850, 165372214.434, -11907.499702, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.027, 4317827.59386, -294.804356492, 165372214.434, -11907.499702, 10000, -11907.499702, -294.804356492, 0, 165372214.434, 4317827.59386, 850, 165372214.434, -11907.499702, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.027, 4317827.59386, -294.804356492, 165372214.434, -11907.499702, 10000, -11907.499702, -294.804356492, 0, 165372214.434, 4317827.59386, 850, 165372214.434, -11907.499702, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.028, 4483144.45525, -306.721363601, 165316861.382, -11917.0071094, 10000, -11917.0071094, -306.721363601, 0, 165316861.382, 4483144.45525, 850, 165316861.382, -11917.0071094, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.028, 4483144.45525, -306.721363601, 165316861.382, -11917.0071094, 10000, -11917.0071094, -306.721363601, 0, 165316861.382, 4483144.45525, 850, 165316861.382, -11917.0071094, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.028, 4483144.45525, -306.721363601, 165316861.382, -11917.0071094, 10000, -11917.0071094, -306.721363601, 0, 165316861.382, 4483144.45525, 850, 165316861.382, -11917.0071094, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.029, 4648405.99914, -318.647867509, 165261543.894, -11926.5039079, 10000, -11926.5039079, -318.647867509, 0, 165261543.894, 4648405.99914, 850, 165261543.894, -11926.5039079, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.029, 4648405.99914, -318.647867509, 165261543.894, -11926.5039079, 10000, -11926.5039079, -318.647867509, 0, 165261543.894, 4648405.99914, 850, 165261543.894, -11926.5039079, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.029, 4648405.99914, -318.647867509, 165261543.894, -11926.5039079, 10000, -11926.5039079, -318.647867509, 0, 165261543.894, 4648405.99914, 850, 165261543.894, -11926.5039079, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.03, 4813612.26118, -330.583857714, 165206262.035, -11935.9902052, 10000, -11935.9902052, -330.583857714, 0, 165206262.035, 4813612.26118, 850, 165206262.035, -11935.9902052, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.03, 4813612.26118, -330.583857714, 165206262.035, -11935.9902052, 10000, -11935.9902052, -330.583857714, 0, 165206262.035, 4813612.26118, 850, 165206262.035, -11935.9902052, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.03, 4813612.26118, -330.583857714, 165206262.035, -11935.9902052, 10000, -11935.9902052, -330.583857714, 0, 165206262.035, 4813612.26118, 850, 165206262.035, -11935.9902052, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.031, 4978763.27691, -342.529323815, 165151015.738, -11945.4661011, 10000, -11945.4661011, -342.529323815, 0, 165151015.738, 4978763.27691, 850, 165151015.738, -11945.4661011, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.031, 4978763.27691, -342.529323815, 165151015.738, -11945.4661011, 10000, -11945.4661011, -342.529323815, 0, 165151015.738, 4978763.27691, 850, 165151015.738, -11945.4661011, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.031, 4978763.27691, -342.529323815, 165151015.738, -11945.4661011, 10000, -11945.4661011, -342.529323815, 0, 165151015.738, 4978763.27691, 850, 165151015.738, -11945.4661011, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.032, 5143859.08187, -354.484255504, 165095804.959, -11954.9316887, 10000, -11954.9316887, -354.484255504, 0, 165095804.959, 5143859.08187, 850, 165095804.959, -11954.9316887, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.032, 5143859.08187, -354.484255504, 165095804.959, -11954.9316887, 10000, -11954.9316887, -354.484255504, 0, 165095804.959, 5143859.08187, 850, 165095804.959, -11954.9316887, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.032, 5143859.08187, -354.484255504, 165095804.959, -11954.9316887, 10000, -11954.9316887, -354.484255504, 0, 165095804.959, 5143859.08187, 850, 165095804.959, -11954.9316887, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.033, 5308899.71153, -366.448642559, 165040629.656, -11964.3870548, 10000, -11964.3870548, -366.448642559, 0, 165040629.656, 5308899.71153, 850, 165040629.656, -11964.3870548, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.033, 5308899.71153, -366.448642559, 165040629.656, -11964.3870548, 10000, -11964.3870548, -366.448642559, 0, 165040629.656, 5308899.71153, 850, 165040629.656, -11964.3870548, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.033, 5308899.71153, -366.448642559, 165040629.656, -11964.3870548, 10000, -11964.3870548, -366.448642559, 0, 165040629.656, 5308899.71153, 850, 165040629.656, -11964.3870548, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.034, 5473885.20132, -378.422474839, 164985489.791, -11973.8322804, 10000, -11973.8322804, -378.422474839, 0, 164985489.791, 5473885.20132, 850, 164985489.791, -11973.8322804, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.034, 5473885.20132, -378.422474839, 164985489.791, -11973.8322804, 10000, -11973.8322804, -378.422474839, 0, 164985489.791, 5473885.20132, 850, 164985489.791, -11973.8322804, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.034, 5473885.20132, -378.422474839, 164985489.791, -11973.8322804, 10000, -11973.8322804, -378.422474839, 0, 164985489.791, 5473885.20132, 850, 164985489.791, -11973.8322804, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.035, 5638815.58664, -390.40574228, 164930385.321, -11983.2674412, 10000, -11983.2674412, -390.40574228, 0, 164930385.321, 5638815.58664, 850, 164930385.321, -11983.2674412, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.035, 5638815.58664, -390.40574228, 164930385.321, -11983.2674412, 10000, -11983.2674412, -390.40574228, 0, 164930385.321, 5638815.58664, 850, 164930385.321, -11983.2674412, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.035, 5638815.58664, -390.40574228, 164930385.321, -11983.2674412, 10000, -11983.2674412, -390.40574228, 0, 164930385.321, 5638815.58664, 850, 164930385.321, -11983.2674412, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.036, 5803690.90284, -402.398434889, 164875316.196, -11992.6926083, 10000, -11992.6926083, -402.398434889, 0, 164875316.196, 5803690.90284, 850, 164875316.196, -11992.6926083, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.036, 5803690.90284, -402.398434889, 164875316.196, -11992.6926083, 10000, -11992.6926083, -402.398434889, 0, 164875316.196, 5803690.90284, 850, 164875316.196, -11992.6926083, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.036, 5803690.90284, -402.398434889, 164875316.196, -11992.6926083, 10000, -11992.6926083, -402.398434889, 0, 164875316.196, 5803690.90284, 850, 164875316.196, -11992.6926083, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.037, 5968511.18519, -414.400542737, 164820282.351, -12002.1078483, 10000, -12002.1078483, -414.400542737, 0, 164820282.351, 5968511.18519, 850, 164820282.351, -12002.1078483, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.037, 5968511.18519, -414.400542737, 164820282.351, -12002.1078483, 10000, -12002.1078483, -414.400542737, 0, 164820282.351, 5968511.18519, 850, 164820282.351, -12002.1078483, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.037, 5968511.18519, -414.400542737, 164820282.351, -12002.1078483, 10000, -12002.1078483, -414.400542737, 0, 164820282.351, 5968511.18519, 850, 164820282.351, -12002.1078483, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.038, 6133276.46886, -426.412055961, 164765283.667, -12011.513224, 10000, -12011.513224, -426.412055961, 0, 164765283.667, 6133276.46886, 850, 164765283.667, -12011.513224, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.038, 6133276.46886, -426.412055961, 164765283.667, -12011.513224, 10000, -12011.513224, -426.412055961, 0, 164765283.667, 6133276.46886, 850, 164765283.667, -12011.513224, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.038, 6133276.46886, -426.412055961, 164765283.667, -12011.513224, 10000, -12011.513224, -426.412055961, 0, 164765283.667, 6133276.46886, 850, 164765283.667, -12011.513224, 0, 850, 10000, 3, 3, 0, 0, 0, 0
